ReleaseDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20170124,06025,Imperial County,CA,0.00,100.00,100.00,66.33,0.00,0.00,2017-01-24,2017-01-30,1
20170117,06025,Imperial County,CA,0.00,100.00,100.00,68.54,0.00,0.00,2017-01-17,2017-01-23,1
20170110,06025,Imperial County,CA,0.00,100.00,100.00,68.54,0.00,0.00,2017-01-10,2017-01-16,1
20170103,06025,Imperial County,CA,0.00,100.00,100.00,68.54,0.00,0.00,2017-01-03,2017-01-09,1
20161227,06025,Imperial County,CA,0.00,100.00,100.00,90.02,0.00,0.00,2016-12-27,2017-01-02,1
20161220,06025,Imperial County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2016-12-20,2016-12-26,1
20161213,06025,Imperial County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2016-12-13,2016-12-19,1
20161206,06025,Imperial County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2016-12-06,2016-12-12,1
20161129,06025,Imperial County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2016-11-29,2016-12-05,1
20161122,06025,Imperial County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2016-11-22,2016-11-28,1
20161115,06025,Imperial County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2016-11-15,2016-11-21,1
20161108,06025,Imperial County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2016-11-08,2016-11-14,1
20161101,06025,Imperial County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2016-11-01,2016-11-07,1
20161025,06025,Imperial County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2016-10-25,2016-10-31,1
20161018,06025,Imperial County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2016-10-18,2016-10-24,1
20161011,06025,Imperial County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2016-10-11,2016-10-17,1
20161004,06025,Imperial County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2016-10-04,2016-10-10,1
20160927,06025,Imperial County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2016-09-27,2016-10-03,1
20160920,06025,Imperial County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2016-09-20,2016-09-26,1
20160913,06025,Imperial County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2016-09-13,2016-09-19,1
20160906,06025,Imperial County,CA,0.00,100.00,100.00,90.37,0.00,0.00,2016-09-06,2016-09-12,1
20160830,06025,Imperial County,CA,0.00,100.00,100.00,90.37,0.00,0.00,2016-08-30,2016-09-05,1
20160823,06025,Imperial County,CA,0.00,100.00,100.00,90.37,0.00,0.00,2016-08-23,2016-08-29,1
20160816,06025,Imperial County,CA,0.00,100.00,100.00,90.37,0.00,0.00,2016-08-16,2016-08-22,1
20160809,06025,Imperial County,CA,0.00,100.00,100.00,90.37,0.00,0.00,2016-08-09,2016-08-15,1
20160802,06025,Imperial County,CA,0.00,100.00,100.00,90.37,0.00,0.00,2016-08-02,2016-08-08,1
20160726,06025,Imperial County,CA,0.00,100.00,100.00,90.37,0.00,0.00,2016-07-26,2016-08-01,1
20160719,06025,Imperial County,CA,0.00,100.00,100.00,90.37,0.00,0.00,2016-07-19,2016-07-25,1
20160712,06025,Imperial County,CA,0.00,100.00,100.00,90.37,0.00,0.00,2016-07-12,2016-07-18,1
20160705,06025,Imperial County,CA,0.00,100.00,100.00,90.37,0.00,0.00,2016-07-05,2016-07-11,1
20160628,06025,Imperial County,CA,0.00,100.00,100.00,90.37,0.00,0.00,2016-06-28,2016-07-04,1
20160621,06025,Imperial County,CA,0.00,100.00,100.00,90.37,0.00,0.00,2016-06-21,2016-06-27,1
20160614,06025,Imperial County,CA,0.00,100.00,100.00,90.37,0.00,0.00,2016-06-14,2016-06-20,1
20160607,06025,Imperial County,CA,0.00,100.00,100.00,90.37,0.00,0.00,2016-06-07,2016-06-13,1
20160531,06025,Imperial County,CA,0.00,100.00,100.00,90.37,0.00,0.00,2016-05-31,2016-06-06,1
